Line,Day,JourneyNumber,DepartureStation,ArrivalStation,ExpectedDepartureTime,ExpectedArrivalTime,RealDepartureTime,RealArrivalTime
14,1,20411,Tekniska högskolan,T-Centralen,2023-04-19 08:14:30,2023-04-19 08:21:00,2023-04-19 08:14:57,2023-04-19 08:21:00
14,1,20090,T-Centralen,Tekniska högskolan,2023-04-19 08:24:00,2023-04-19 08:30:00,2023-04-19 08:25:03,2023-04-19 08:31:00
14,1,20412,Tekniska högskolan,T-Centralen,2023-04-19 08:19:30,2023-04-19 08:26:00,2023-04-19 08:19:46,2023-04-19 08:26:00
14,1,20413,Tekniska högskolan,T-Centralen,2023-04-19 08:24:30,2023-04-19 08:31:00,2023-04-19 08:24:30,2023-04-19 08:31:00
14,1,20414,Tekniska högskolan,T-Centralen,2023-04-19 08:29:30,2023-04-19 08:36:00,2023-04-19 08:29:30,2023-04-19 08:36:00
4,1,2992,Fridhemsplan,Tekniska högskolan,2023-04-18 16:02:00,2023-04-18 16:19:00,2023-04-18 16:02:00,2023-04-18 16:19:39
4,1,2994,Fridhemsplan,Tekniska högskolan,2023-04-18 16:14:00,2023-04-18 16:31:00,2023-04-18 16:17:17,2023-04-18 16:34:14
4,1,2993,Fridhemsplan,Tekniska högskolan,2023-04-18 16:08:00,2023-04-18 16:25:00,2023-04-18 16:18:51,2023-04-18 16:35:30
4,1,2995,Fridhemsplan,Tekniska högskolan,2023-04-18 16:20:00,2023-04-18 16:37:00,2023-04-18 16:35:06,2023-04-18 16:37:00
4,1,3152,Tekniska högskolan,Fridhemsplan,2023-04-18 16:03:00,2023-04-18 16:21:00,2023-04-18 16:05:14,2023-04-18 16:25:11
4,1,3153,Tekniska högskolan,Fridhemsplan,2023-04-18 16:09:00,2023-04-18 16:27:00,2023-04-18 16:09:47,2023-04-18 16:30:25
4,1,2996,Fridhemsplan,Tekniska högskolan,2023-04-18 16:25:00,2023-04-18 16:42:00,2023-04-18 16:34:08,2023-04-18 16:42:00
4,1,2997,Fridhemsplan,Tekniska högskolan,2023-04-18 16:32:00,2023-04-18 16:49:00,2023-04-18 16:32:47,2023-04-18 16:49:00
4,1,3154,Tekniska högskolan,Fridhemsplan,2023-04-18 16:14:00,2023-04-18 16:32:00,2023-04-18 16:21:11,2023-04-18 16:38:19
4,1,2998,Fridhemsplan,Tekniska högskolan,2023-04-18 16:37:00,2023-04-18 16:54:00,2023-04-18 16:39:02,2023-04-18 16:54:00
4,1,3155,Tekniska högskolan,Fridhemsplan,2023-04-18 16:19:00,2023-04-18 16:37:00,2023-04-18 16:30:43,2023-04-18 16:49:04
4,1,3156,Tekniska högskolan,Fridhemsplan,2023-04-18 16:24:00,2023-04-18 16:42:00,2023-04-18 16:24:00,2023-04-18 16:42:00
4,1,2999,Fridhemsplan,Tekniska högskolan,2023-04-18 16:42:00,2023-04-18 16:59:00,2023-04-18 16:46:01,2023-04-18 16:59:00
4,1,3157,Tekniska högskolan,Fridhemsplan,2023-04-18 16:29:00,2023-04-18 16:47:00,2023-04-18 16:29:41,2023-04-18 16:47:00
4,1,3000,Fridhemsplan,Tekniska högskolan,2023-04-18 16:48:00,2023-04-18 17:05:00,2023-04-18 16:48:00,2023-04-18 17:05:00
4,1,3001,Fridhemsplan,Tekniska högskolan,2023-04-18 16:52:00,2023-04-18 17:09:00,2023-04-18 16:52:00,2023-04-18 17:09:00
4,1,3158,Tekniska högskolan,Fridhemsplan,2023-04-18 16:35:00,2023-04-18 16:53:00,2023-04-18 16:35:00,2023-04-18 16:53:00
4,1,3002,Fridhemsplan,Tekniska högskolan,2023-04-18 16:58:00,2023-04-18 17:15:00,2023-04-18 16:58:00,2023-04-18 17:15:00
4,1,3159,Tekniska högskolan,Fridhemsplan,2023-04-18 16:41:00,2023-04-18 16:59:00,2023-04-18 16:41:00,2023-04-18 16:59:00
4,1,3003,Fridhemsplan,Tekniska högskolan,2023-04-18 17:03:00,2023-04-18 17:20:00,2023-04-18 17:03:00,2023-04-18 17:20:00
4,1,3160,Tekniska högskolan,Fridhemsplan,2023-04-18 16:46:00,2023-04-18 17:04:00,2023-04-18 16:46:00,2023-04-18 17:04:00
4,1,3004,Fridhemsplan,Tekniska högskolan,2023-04-18 17:08:00,2023-04-18 17:25:00,2023-04-18 17:08:00,2023-04-18 17:25:00
4,1,3161,Tekniska högskolan,Fridhemsplan,2023-04-18 16:52:00,2023-04-18 17:10:00,2023-04-18 16:52:00,2023-04-18 17:10:00
4,1,3005,Fridhemsplan,Tekniska högskolan,2023-04-18 17:14:00,2023-04-18 17:30:00,2023-04-18 17:14:00,2023-04-18 17:30:00
4,1,3162,Tekniska högskolan,Fridhemsplan,2023-04-18 16:57:00,2023-04-18 17:15:00,2023-04-18 16:57:00,2023-04-18 17:15:00
4,1,3006,Fridhemsplan,Tekniska högskolan,2023-04-18 17:20:00,2023-04-18 17:35:00,2023-04-18 17:20:00,2023-04-18 17:35:00
4,1,3163,Tekniska högskolan,Fridhemsplan,2023-04-18 17:03:00,2023-04-18 17:21:00,2023-04-18 17:03:00,2023-04-18 17:21:00
4,1,3007,Fridhemsplan,Tekniska högskolan,2023-04-18 17:25:00,2023-04-18 17:40:00,2023-04-18 17:25:00,2023-04-18 17:40:00
4,1,3164,Tekniska högskolan,Fridhemsplan,2023-04-18 17:09:00,2023-04-18 17:27:00,2023-04-18 17:09:00,2023-04-18 17:27:00
4,1,3008,Fridhemsplan,Tekniska högskolan,2023-04-18 17:31:00,2023-04-18 17:46:00,2023-04-18 17:31:00,2023-04-18 17:46:00
4,1,3165,Tekniska högskolan,Fridhemsplan,2023-04-18 17:14:00,2023-04-18 17:32:00,2023-04-18 17:14:00,2023-04-18 17:32:00
4,1,3009,Fridhemsplan,Tekniska högskolan,2023-04-18 17:38:00,2023-04-18 17:53:00,2023-04-18 17:38:00,2023-04-18 17:53:00
4,1,3166,Tekniska högskolan,Fridhemsplan,2023-04-18 17:20:00,2023-04-18 17:38:00,2023-04-18 17:20:00,2023-04-18 17:38:00
4,1,3167,Tekniska högskolan,Fridhemsplan,2023-04-18 17:24:00,2023-04-18 17:42:00,2023-04-18 17:24:00,2023-04-18 17:42:00
4,1,3010,Fridhemsplan,Tekniska högskolan,2023-04-18 17:44:00,2023-04-18 17:58:00,2023-04-18 17:44:00,2023-04-18 17:58:00
4,1,3168,Tekniska högskolan,Fridhemsplan,2023-04-18 17:29:00,2023-04-18 17:47:00,2023-04-18 17:29:00,2023-04-18 17:47:00
4,1,3169,Tekniska högskolan,Fridhemsplan,2023-04-18 17:35:00,2023-04-18 17:53:00,2023-04-18 17:35:00,2023-04-18 17:53:00
4,1,3170,Tekniska högskolan,Fridhemsplan,2023-04-18 17:41:00,2023-04-18 17:59:00,2023-04-18 17:41:00,2023-04-18 17:59:00
4,1,2905,Fridhemsplan,Tekniska högskolan,2023-04-19 07:00:00,2023-04-19 07:14:00,2023-04-19 07:04:46,2023-04-19 07:20:17
4,1,3057,Fridhemsplan,Tekniska högskolan,2023-04-19 07:07:00,2023-04-19 07:21:00,2023-04-19 07:08:19,2023-04-19 07:24:03
4,1,2906,Fridhemsplan,Tekniska högskolan,2023-04-19 07:10:00,2023-04-19 07:24:00,2023-04-19 07:12:15,2023-04-19 07:27:06
4,1,3068,Tekniska högskolan,Fridhemsplan,2023-04-19 07:03:00,2023-04-19 07:17:00,2023-04-19 07:04:38,2023-04-19 07:19:00
4,1,2907,Fridhemsplan,Tekniska högskolan,2023-04-19 07:18:00,2023-04-19 07:32:00,2023-04-19 07:19:38,2023-04-19 07:35:22
4,1,3069,Tekniska högskolan,Fridhemsplan,2023-04-19 07:10:00,2023-04-19 07:24:00,2023-04-19 07:11:54,2023-04-19 07:26:08
4,1,2908,Fridhemsplan,Tekniska högskolan,2023-04-19 07:25:00,2023-04-19 07:39:00,2023-04-19 07:27:20,2023-04-19 07:44:25
4,1,3070,Tekniska högskolan,Fridhemsplan,2023-04-19 07:16:00,2023-04-19 07:30:00,2023-04-19 07:21:57,2023-04-19 07:37:11
4,1,2909,Fridhemsplan,Tekniska högskolan,2023-04-19 07:30:00,2023-04-19 07:45:00,2023-04-19 07:32:21,2023-04-19 07:48:17
4,1,3071,Tekniska högskolan,Fridhemsplan,2023-04-19 07:22:00,2023-04-19 07:36:00,2023-04-19 07:27:22,2023-04-19 07:43:03
4,1,2910,Fridhemsplan,Tekniska högskolan,2023-04-19 07:37:00,2023-04-19 07:52:00,2023-04-19 07:42:11,2023-04-19 08:01:05
4,1,2911,Fridhemsplan,Tekniska högskolan,2023-04-19 07:41:00,2023-04-19 07:56:00,2023-04-19 07:44:13,2023-04-19 07:57:26
4,1,3072,Tekniska högskolan,Fridhemsplan,2023-04-19 07:29:00,2023-04-19 07:43:00,2023-04-19 07:32:25,2023-04-19 07:47:46
4,1,2912,Fridhemsplan,Tekniska högskolan,2023-04-19 07:48:00,2023-04-19 08:05:00,2023-04-19 07:48:00,2023-04-19 08:05:00
4,1,3073,Tekniska högskolan,Fridhemsplan,2023-04-19 07:35:00,2023-04-19 07:49:00,2023-04-19 07:39:17,2023-04-19 07:56:37
4,1,2913,Fridhemsplan,Tekniska högskolan,2023-04-19 07:53:00,2023-04-19 08:10:00,2023-04-19 07:53:00,2023-04-19 08:10:00
4,1,3074,Tekniska högskolan,Fridhemsplan,2023-04-19 07:41:00,2023-04-19 07:55:00,2023-04-19 07:44:08,2023-04-19 07:59:11
4,1,2914,Fridhemsplan,Tekniska högskolan,2023-04-19 07:58:00,2023-04-19 08:15:00,2023-04-19 08:02:22,2023-04-19 08:19:50
4,1,3075,Tekniska högskolan,Fridhemsplan,2023-04-19 07:48:00,2023-04-19 08:03:00,2023-04-19 07:49:34,2023-04-19 08:06:01
4,1,2916,Fridhemsplan,Tekniska högskolan,2023-04-19 08:09:00,2023-04-19 08:26:00,2023-04-19 08:12:46,2023-04-19 08:28:42
4,1,3076,Tekniska högskolan,Fridhemsplan,2023-04-19 07:54:00,2023-04-19 08:09:00,2023-04-19 07:54:57,2023-04-19 08:09:59
4,1,3077,Tekniska högskolan,Fridhemsplan,2023-04-19 07:59:00,2023-04-19 08:14:00,2023-04-19 08:01:27,2023-04-19 08:17:17
4,1,3078,Tekniska högskolan,Fridhemsplan,2023-04-19 08:04:00,2023-04-19 08:19:00,2023-04-19 08:06:49,2023-04-19 08:23:20
4,1,3079,Tekniska högskolan,Fridhemsplan,2023-04-19 08:10:00,2023-04-19 08:25:00,2023-04-19 08:11:57,2023-04-19 08:27:10
4,1,3080,Tekniska högskolan,Fridhemsplan,2023-04-19 08:15:00,2023-04-19 08:30:00,2023-04-19 08:16:27,2023-04-19 08:31:29
14,1,20506,Bergshamra,Tekniska högskolan,2023-04-18 16:03:30,2023-04-18 16:09:30,2023-04-18 16:04:24,2023-04-18 16:09:53
14,1,20962,Tekniska högskolan,Bergshamra,2023-04-18 16:00:00,2023-04-18 16:05:00,2023-04-18 16:00:05,2023-04-18 16:05:16
