RequestTime,StartingStation,EndingStation,ModelOld,ModelSL,ModelDelay,Value_ModelOld,Value_ModelSL,Value_ModelDelay,Value_ModelDelay_50,Value_ModelDelay_90,ModelDelay_50,ModelDelay_90
1900-01-01 16:11:50,Solna Centrum,Globen,1900-01-01 16:44:15,1900-01-01 16:44:15,1900-01-01 16:44:15,True,True,True,True,True,1900-01-01 16:44:15,1900-01-01 16:44:15
1900-01-01 16:12:23,Tekniska högskolan,Fridhemsplan,1900-01-01 16:28:00,1900-01-01 16:28:00,1900-01-01 16:28:00,True,True,True,True,True,1900-01-01 16:28:00,1900-01-01 16:28:00
1900-01-01 16:12:24,Fridhemsplan,Tekniska högskolan,1900-01-01 16:30:55,1900-01-01 16:30:55,1900-01-01 16:40:03,True,True,True,True,True,1900-01-01 16:30:55,1900-01-01 16:30:55
1900-01-01 16:12:24,Tekniska högskolan,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
1900-01-01 16:12:24,Solna Centrum,Tekniska högskolan,1900-01-01 16:35:07,1900-01-01 16:35:07,1900-01-01 16:35:07,True,True,True,True,True,1900-01-01 16:35:07,1900-01-01 16:35:07
1900-01-01 16:12:26,Globen,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
1900-01-01 16:12:28,Solna Centrum,Globen,1900-01-01 16:44:15,1900-01-01 16:44:15,1900-01-01 16:44:15,True,True,True,True,True,1900-01-01 16:44:15,1900-01-01 16:44:15
1900-01-01 16:13:07,Tekniska högskolan,Fridhemsplan,1900-01-01 16:28:00,1900-01-01 16:28:00,1900-01-01 16:28:00,True,True,True,True,True,1900-01-01 16:28:00,1900-01-01 16:28:00
1900-01-01 16:13:08,Fridhemsplan,Tekniska högskolan,1900-01-01 16:40:03,1900-01-01 16:30:55,1900-01-01 16:40:03,True,True,True,True,True,1900-01-01 16:30:55,1900-01-01 16:30:55
1900-01-01 16:13:08,Tekniska högskolan,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
1900-01-01 16:13:09,Solna Centrum,Tekniska högskolan,1900-01-01 16:35:07,1900-01-01 16:35:07,1900-01-01 16:35:07,True,True,True,True,True,1900-01-01 16:35:07,1900-01-01 16:35:07
1900-01-01 16:13:09,Globen,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
1900-01-01 16:13:10,Solna Centrum,Globen,1900-01-01 16:44:15,1900-01-01 16:44:15,1900-01-01 16:44:15,True,True,True,True,True,1900-01-01 16:44:15,1900-01-01 16:44:15
1900-01-01 16:13:46,Tekniska högskolan,Fridhemsplan,1900-01-01 16:28:00,1900-01-01 16:28:00,1900-01-01 16:28:00,True,True,True,True,True,1900-01-01 16:28:00,1900-01-01 16:28:00
1900-01-01 16:13:46,Fridhemsplan,Tekniska högskolan,1900-01-01 16:40:03,1900-01-01 16:30:55,1900-01-01 16:40:03,True,True,True,True,True,1900-01-01 16:30:55,1900-01-01 16:30:55
1900-01-01 16:13:47,Tekniska högskolan,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
1900-01-01 16:13:47,Solna Centrum,Tekniska högskolan,1900-01-01 16:35:07,1900-01-01 16:35:07,1900-01-01 16:35:07,True,True,True,True,True,1900-01-01 16:35:07,1900-01-01 16:35:07
1900-01-01 16:13:48,Globen,Solna Centrum,1900-01-01 16:44:57,1900-01-01 16:44:57,1900-01-01 16:44:57,True,True,True,True,True,1900-01-01 16:44:57,1900-01-01 16:51:45
1900-01-01 16:13:48,Solna Centrum,Globen,1900-01-01 16:44:15,1900-01-01 16:44:15,1900-01-01 16:44:15,True,True,True,True,True,1900-01-01 16:44:15,1900-01-01 16:44:15
1900-01-01 16:14:25,Tekniska högskolan,Fridhemsplan,1900-01-01 16:28:00,1900-01-01 16:28:00,1900-01-01 16:28:00,True,True,True,True,True,1900-01-01 16:28:00,1900-01-01 16:28:00
1900-01-01 16:14:25,Fridhemsplan,Tekniska högskolan,1900-01-01 16:30:55,1900-01-01 16:30:55,1900-01-01 16:40:03,True,True,True,True,True,1900-01-01 16:40:03,1900-01-01 16:30:55
1900-01-01 16:14:26,Tekniska högskolan,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True,True,1900-01-01 16:37:45,1900-01-01 16:37:45
