,RequestTime,StartingStation,EndingStation,ModelOld,ModelDelay,ModelDelay50,ModelDelay90,Value_ModelOld,Value_ModelDelay,Value_ModelDelay50,Value_ModelDelay90
213,1900-01-01 16:44:59,Solna Centrum,Tekniska högskolan,1900-01-01 17:21:35,1900-01-01 17:24:30,1900-01-01 17:21:35,1900-01-01 17:21:35,True,True,True,True
214,1900-01-01 07:19:54,Tekniska högskolan,Solna Centrum,1900-01-01 08:18:19,1900-01-01 08:18:19,1900-01-01 08:18:19,1900-01-01 08:18:19,True,True,True,True
215,1900-01-01 08:09:12,Tekniska högskolan,Solna Centrum,1900-01-01 08:42:39,1900-01-01 08:42:39,1900-01-01 08:42:39,1900-01-01 08:42:39,True,True,True,True
216,1900-01-01 16:31:41,Solna Centrum,Tekniska högskolan,1900-01-01 17:05:00,1900-01-01 17:05:00,1900-01-01 17:05:00,1900-01-01 17:05:00,True,True,True,True
217,1900-01-01 17:14:34,Solna Centrum,Tekniska högskolan,1900-01-01 17:50:00,1900-01-01 17:50:00,1900-01-01 17:50:00,1900-01-01 17:50:00,True,True,True,True
218,1900-01-01 17:41:32,Tekniska högskolan,Fridhemsplan,1900-01-01 18:09:41,1900-01-01 18:09:20,1900-01-01 18:09:20,1900-01-01 18:09:20,True,True,True,True
219,1900-01-01 07:41:16,Tekniska högskolan,Fridhemsplan,1900-01-01 08:08:42,1900-01-01 08:08:42,1900-01-01 08:08:42,1900-01-01 08:08:42,True,True,True,True
220,1900-01-01 07:56:46,Solna Centrum,Globen,1900-01-01 08:49:00,1900-01-01 08:40:04,1900-01-01 08:40:04,1900-01-01 08:40:04,True,True,True,True
221,1900-01-01 16:31:56,Tekniska högskolan,Solna Centrum,1900-01-01 17:05:45,1900-01-01 17:05:45,1900-01-01 17:05:45,1900-01-01 17:05:45,True,True,True,True
222,1900-01-01 08:15:11,Solna Centrum,Tekniska högskolan,1900-01-01 08:51:36,1900-01-01 08:51:36,1900-01-01 08:51:36,1900-01-01 08:51:36,True,True,True,True
223,1900-01-01 07:50:25,Solna Centrum,Globen,1900-01-01 08:30:00,1900-01-01 08:30:00,1900-01-01 08:30:00,1900-01-01 08:30:00,True,True,True,True
224,1900-01-01 07:39:54,Tekniska högskolan,Solna Centrum,1900-01-01 08:14:21,1900-01-01 08:14:21,1900-01-01 08:14:21,1900-01-01 08:14:21,True,True,True,True
225,1900-01-01 16:46:17,Solna Centrum,Globen,1900-01-01 17:25:15,1900-01-01 17:25:15,1900-01-01 17:25:15,1900-01-01 17:25:15,True,True,True,True
