stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021001000425000,Skogsö udde,59.366367,18.433891,1,,
9021001000426000,Stegesund,59.413258,18.367672,1,,
9021001000427000,Skarpöborg,59.414003,18.371554,1,,
9021001000428000,Edholma,59.412406,18.352248,1,,
9021001000429000,Grenadjärbryggan,59.390903,18.433926,1,,
9021001000430000,Ytterby brygga,59.425121,18.355481,1,,
9021001000431000,Vikingsborg,59.421913,18.360366,1,,
9021001000432000,Karlsudd,59.381759,18.331921,1,,
9021001000433000,Rindö västra,59.403190,18.365314,1,,
9021001000434000,Storholmen södra,59.393533,18.134353,1,,
9021001000435000,Storholmen östra,59.396904,18.144391,1,,
9021001000436000,Frösvik,59.403250,18.154409,1,,
9021001000437000,Storholmen norra,59.398637,18.135511,1,,
9021001000438000,Åkershov,59.374556,18.411630,1,,
9021001000439000,Ljungbergsgårdens vägskäl,59.366009,18.421177,1,,
9021001000440000,Orrlunda,59.376894,18.406809,1,,
9021001000501000,Själbottna,59.565997,18.784330,1,,
9021001000502000,Vagnsunda,59.575592,18.784505,1,,
9021001000503000,Brokholmen,59.588476,18.832295,1,,
9021001000504000,Glyxnäs,59.591454,18.855169,1,,
9021001000505000,Alsvik,59.599711,18.851061,1,,
9021001000506000,Bruket,59.604160,18.867836,1,,
9021001000507000,Yxlövik,59.615476,18.870664,1,,
9021001000508000,Almvik,59.621302,18.890661,1,,
9021001000509000,Duvnäs,59.627826,18.893174,1,,
9021001000510000,Kolsvik,59.634484,18.899929,1,,
9021001000511000,Stämmarsund,59.636437,18.920910,1,,
9021001000512000,Bergshyddan,59.645888,18.928355,1,,
9021001000513000,Norrsund,59.648972,18.938054,1,,
9021001000514000,Yxlö,59.632163,18.863907,1,,
9021001000515000,Köpmanholm,59.659791,18.930001,1,,
9021001000516000,Lilla Gräskö,59.687659,19.023087,1,,
9021001000520000,Solö,59.674408,18.764996,1,,
9021001000521000,Hemmarö,59.648134,18.795772,1,,
9021001000522000,Söderäng,59.640061,18.790510,1,,
9021001000523000,Högmarsö,59.646179,18.817590,1,,
9021001000524000,Fårgångsö,59.642960,18.817614,1,,
9021001000525000,Furusund,59.658238,18.916405,1,,
9021001000526000,Norröra,59.642565,19.020664,1,,
9021001000527000,Söderöra,59.627374,19.011762,1,,
9021001000528000,Svartlöga,59.580131,19.066981,1,,
9021001000529000,Rödlöga,59.594166,19.172317,1,,
9021001000530000,Gräskö,59.684724,19.017063,1,,
9021001000531000,Marö,59.701294,19.055591,1,,
9021001000532000,Kapellskär,59.718037,19.070614,1,,
9021001000533000,Tjockö Ångbåtsbrygga,59.745758,19.112042,1,,
9021001000534000,Lidö,59.770132,19.079210,1,,
9021001000535000,Tyvö,59.772010,19.125009,1,,
9021001000536000,Idö,59.799430,19.115643,1,,
9021001000537000,Östersjö,59.833754,19.077659,1,,
9021001000538000,Granö,59.836304,19.088779,1,,
9021001000539000,Arholma,59.851243,19.107663,1,,
9021001000540000,Simpnäs,59.869861,19.077366,1,,
9021001000541000,Räfsnäs,59.752077,19.080409,1,,
9021001000542000,Rovholmen,59.755755,19.126805,1,,
